id,caption
10000,two men smiling while holding a magazine
10001,a woman in front of an orange and black poster with the words ` '
10002,the canadian government logo
10003,person addresses to the crowd at the cpg annual meeting in the governor ' s palace
10004,"a mobile screen with the text in the middle of it and an arrow pointing to the word, that reads"
10005,a sign is on the side of a street
10006,a large pipe sitting in the middle of a field
10007,"screens are designed to give an idea for a face for each individual and cultural,"
10008,person wearing a suit and tie
10009,people sitting around a table at an event
10010,a man is standing on stage with his hand out to the audience
10011,a crowd gathers to speak at the podiums
10012,a screenshote bar with the text results
10013,"person, the godfather quote poster, black and white print for man wall decor"
10014,a man wearing a brown jacket
10015,a screenshot of texting and the phrase
10016,people standing in an office area next to a table
10017,politician standing on a podium with his arms raised in the air while speaking to a crowd
10018,the crowd is gathered around the table to look at a poster
10019,a map of the route on the app
10020,"a man in business attire with a white shirt and black tie, holding his hands over his chest, with"
10021,the man is wearing a pink suit and has a long white mustache
10022,"person, person and person at the nba game in la"
10023,a crowd of people gathered in the conference center
10024,the view from our seats
10025,the crowd dancing at the party
10026,a man with long hair wearing a suit outside a large building
10027,a table with data and numbers
10028,the problem that johnny can ' t
10029,"a woman in black shirt and jeans, standing next to trees"
10030,a tv screen with a number of countries on it
10031,two dead babies
10032,"tweemep twimeps, it ' s not a big deal, and this is not one of the best twitters ever"
10033,the hockey jerseys that were used to promote their team ' s name
10034,"politician and his wife, who is the queen of country"
10035,the drowning of your hand
10036,a poster advertising the future of ireland ' s education
10037,a diagram with several numbers and a graph showing the average rate of changes from 1950 to 2016
10038,a man in a suit and tie standing in front of an overhead ceiling
10039,person reading a book
10040,a man and woman talking to each other people
10041,"a white background with a line of text that reads, `, '"
10042,a man holding up a sign with the word ' zero ' on it
10043,a woman holds up a sign that reads i will vote in 2015 because of the new laws and regulations
10044,"cartoon of a priest with his arm extended to a book, saying ' ' the church is an integral of great compassion and determination '"
10045,"text on a blue background that reads ` ' must not attempt to host a hospital treatment, but it is"
10046,cara cara and caras with white chocolate covered in a carab
10047,a map showing the number of jobs in canada
10048,the russian president ' s speech on this day
10049,the text in a facebook message
10050,a screenshot of the website showing a message from politician
