id,ocr_text
10000,
10001,NotInOUrName G7 Xpvad @CDHIl9
10002,
10003,"Gas Processing GPAC' mldust Canada Kssocialion ,"
10004,"Oxford Diclionaries Septemxoer & 3015 Lanquago Ialler: English - Aam Canc dicmi Suonynt Gntl . Hecdo 513995' EXPERT SERVICE Get more Irom GREAT PRICING relsgln Whxe Certified Serce Oxford Dictionaries Voucanpo ""Ctennt RacaheMorldeotz (NGN Sprout @ Canada Mast populas In Camkl Un: DLAal Caneic i CCEeil buy now fueedo Jalhi Can-M Enulls Une >econd-lma;' caunln 67o #oid couzing nintar hiltol Lmonmta Iino Eueoctei pculLai >Je Zle AJUs omea Hnage? Eqait Al_ ranch Gonn Clle"
10005,CHUNGSEN (CS) LEUNG Conservative
10006,
10007,Pollenize Get Informed Acicnico Kcrncatotho 2015 CanadanfcdcrlEkrtb1 Rmrecnemon EUc;' pstrorma poke Drpoln Mdenttcuneeonnanet et Anmemt Elndr Eecadrtytoeanmor Droul uerentictm Fljrteaneccral polkretto Eler Lolrciatth Fecic ornanntcontlne
10008,
10009,"""geen KENT Liberal Hatch HeHR"
10010,"TRUDEA U Studied environmental geography at McGill and engineering at Universite de Montreal, but failed to complete degrees in either. Work history: Snow board instructor; Camp counsellor, White water rafting instructor, Substitute drama teacher. Charges charities and public school boards for speeches while an MP"
10011,Lberal
10012,Results: The parties behind your priorities You picked 37 policies. The percentages below tell you how often your own picks matched each party' proposal Conservative 59%0 Green 3996 NDP 38r0 Liberal 28%
10013,"ADOLF HITLER ~The best wav to take control over people and control them utterly is to take a little of their freedom at a time, to erode rights bv thousand tinv and almost imperceptible reductions. In this wav, the people will not see those rights and freedoms being removed util past the at which these changes cannot be reversed. Mein Kampf directly from his manifesto. point"
10014,
10015,"61 % 11.11 PM Paul Neumann @PaulOttoNeum_ -72 Tweet CBCTrending; what's wrong with men-only clubs? Sometimes guys just need to chill & hang with other guys. Nothing wrong with that. Will you be trying to take down women-only clubs, too? No? Then shut upll Leduc County, Alberta Hey out"
10016,Da Tueaa
10017,
10018,
10019,Ian $ Walk for End of Life Care Ion5 Wuik Jtenr Cmn ng Ma Cuelmat UDMIANA 0Okota Urnl ccd ULLINUIS
10020,"Justin Trudeau on the Energy East pipeline In Atlantic In Quebec: Canada: ""Im also ""The East supportive of Energy Oil the idea of a Pipeline is not west to east socially pipeline acceptable Atlintic Juzic 19 ""01( HAleia en Feee"
10021,
10022,Teronto ' GR
10023,
10024,"Ort ""73adwciser"
10025,
10026,
10027,"Total Tweets Leader 15,2014 t0 Regular Tweets Retweets Replies Aug: 15, 2015 @pmharper 868 93% 7% 0% @thomasmulcair 1,491 91% 8% 1% @justintrudeau 3,133 90% 9% @elizabethmay 10,381 9% 62% 29% Aug:"
10028,The problem isnt that Johnny cant read. The isntt even that probiere cantt think; The problem is that Johnny doesnt know what thinking is; he confuses it with feeling: Thamas Sowell meetville.com
10029,
10030,+1.5% + 1.0% F +0.7 +0.6% +0.6% +0.6% ~0.3% g 4
10031,
10032,"000 Belli 23*29 $ 58% Tweet T4 Adam DeVita @AdamDeVitaNDP People have a right to know if are consuming GMOs: NDP # GreenAgenda #Ready4Change 2015-08-19, 20.58 3 RETWEETS 4 FAVORITES Mike Pasztor @Pasztor79 15h @AdamDeVitaNDP suggest you visit a Canadian farm that grows GMO's before making statements like that: #factsnotfear Reply to Adam DeVita Home Notifications Messages Me they"
10033,"caNada FORWARDS DEFENCE Goalies RE aee Ronhn DEE Fuemat Aaat_arcar TOEWS d(RGIRON; Patrict gIORDaNo;Kark (L""cd RonIRTO Gaara VO eAI WeH Crcar PRK Cant ULMLAet LACD 16 Jirolt (IaUOI AIRANTIO.AlD Fa Tete SuEMARR omanKen WLER. smua ic] #1RICI FLKHTcokT {iGun Mtr {nAROs STN [A] eanrdr Ton Kmhanin] CANADR PRICE TAYOR oRid cue 31 HOCKEY 6rdatv Roy By ScOTT 6."
10034,
10035,
10036,"These four former Liberal members reject Trudeau and and are running for the NDP Diane Freeman Carolynn Ioannoni| Margaret Andrade John Fenik Candidate Gandidaie Candidate Candidale WaterLOO NIAGARA FALLS Leeds-grenville- LANAR FRONIENAC THOUSAND ISLANDS KINGS On AND RIDBAU LAKES Its time for change in Ottawa NDp Party #C51,"
10037,"Millions of Private-Sector Jobs per Year Memocrats: million Republicans: 26 million ~glcom Obima Kernedy carter Roorcvcit Reare [E Frumtan Pkh Nixon AloEdemeanalenenchcichadeeetea M enim ~Lrk Feskchsdata, #vieal~patl ) clinton Ana &"
10038,
10039,2 Han
10040,FEQOCR BARTR THIS IS TOM MULCAIR CAZNNGIIKNOW CALLING FOR THE 2BTH TINEBUT THIS TIMELWANT TOMORTGAGE CANADAFSFUTURE imgfipcom
10041,ImAzc Sqadina Fort York
10042,"(Over 80% of those who refuges are Muslims) Saudi Arabia; Qatar; United Arab Emirates, Bahrain; Kuwait 99% Islamic countries ZERO refugee intake"
10043,Will Vote in 2015 because__ I Wan} 70 Kizk Steven Haepes Oub 08 0 PP Z< #IWil Vote2015 @IWiliVote2015
10044,75 AnS D'EMancipatioN DES FEMMES ETooo Ne ToUCHEZ PAS A MA Liberte D'ExpreSSIONI SERET
10045,"Muslims do not attempt to integrate into a host nation $ culture. They do not attempt to assimilate or adapt to cultural practices in the lands that choose to settle: Nor are happy being given equal status in society of many races and varied religious beliefs  Muslims look to dominate and dictate the public discourse,and seek to be the most privileged group: They do this by mosque-ing the workplace with their dietary and prayer demands; by offence as a means of getting their own way, and by controlling the speech of others insofaras they never allow any criticism of Islam: nocompulsion com via pullquote,, they they 'they using"
10046,"THE ART OF CARAMEL sall Hown suqdi coin SYTUP Bel coda vaniic 700 4 altun -10 day' cjme Nocucmoy sutor wih Nuls Ilaut; daay: 2998 Ubequoicoke ca 780-485.5547 CAKE CORN ORIGinal DBUN AAcent- buller opcon conukned OPMOt 4o Motho - Cenlains ""cbuou contann contoc"
10047,Job-creation in 8MACKENZIEKING Canada has been GRSULAURENT 0? DIEFENBAKER slower under PEARSON Stephen Harper's Oarudbau government than ULRONEY any other Prime CHRETIEN Minister since MaRTIn the 1940s. Marofp CYMutecth Munuo
10048,@cDHil9
